,gene_name,num_reads_mat,num_reads_pat,total_reads,perc.cas,,
1,Actr3-ps,255,85,340,25,,
2,Amd-ps1,8,1,9,11.11111111,,
3,Ct55,16,1,17,5.882352941,,
4,Efhc2,12,2,14,14.28571429,pat,1641
5,Fhl1,17,1,18,5.555555556,mat,996
6,Gm10491,10,5,15,33.33333333,,
7,Gm14373,8,1,9,11.11111111,,
8,Gm14504,35,2,37,5.405405405,5.263157895,
9,Gm14513,17,21,38,55.26315789,,
10,Gm14519,3,10,13,76.92307692,,
11,Gm14529,1,1,2,50,,
12,Gm14530,2,1,3,33.33333333,,
13,Gm14539,13,107,120,89.16666667,,
14,Gm14639,4,5,9,55.55555556,,
15,Gm14667,15,2,17,11.76470588,,
16,Gm14679,4,1,5,20,,
17,Gm14730,0,1,1,100,,
18,Gm14776,15,2,17,11.76470588,,
19,Gm14830,11,64,75,85.33333333,,
20,Gm14983,1,1,2,50,,
21,Gm15013,18,4,22,18.18181818,,
22,Gm15148,2,3,5,60,,
23,Gm15155,8,1,9,11.11111111,,
24,Gm15163,3,30,33,90.90909091,,
25,Gm15204,10,2,12,16.66666667,,
26,Gm15266,5,2,7,28.57142857,,
27,Gm15267,0,1,1,100,,
28,Gm15294,2,1,3,33.33333333,,
29,Gm15361,0,1,1,100,,
30,Gm16421,0,2,2,100,,
31,Gm16459,13,308,321,95.95015576,,
32,Gm18336,1,1,2,50,,
33,Gm1947,5,4,9,44.44444444,,
34,Gm4760,3,1,4,25,,
35,Gm4784,10,5,15,33.33333333,,
36,Gm4913,9,1,10,10,,
37,Gm4992,3,12,15,80,,
38,Gm4997,13,360,373,96.51474531,,
39,Gm5124,44,7,51,13.7254902,,
40,Gm5135,5,2,7,28.57142857,,
41,Gm5402,15,2,17,11.76470588,,
42,Gm5637,45,3,48,6.25,,
43,Gm5648,3,3,6,50,,
44,Gm5759,7,1,8,12.5,,
45,Gm5931,1,2,3,66.66666667,,
46,Gm6062,3,1,4,25,,
47,Gm6088,0,1,1,100,,
48,Gm6222,3,2,5,40,,
49,Gm6285,5,1,6,16.66666667,,
50,Gm6368,12,96,108,88.88888889,,
51,Gm6382,1,9,10,90,,
52,Gm6568,10,2,12,16.66666667,,
53,Gm6743,4,1,5,20,,
54,Gm6829,1,2,3,66.66666667,,
55,Gm6954,7,1,8,12.5,,
56,Gm6977,11,107,118,90.6779661,,
57,Gm7150,17,1,18,5.555555556,,
58,Gm7222,6,6,12,50,,
59,Gm7327,2,30,32,93.75,,
60,Gm7331,13,5,18,27.77777778,,
61,Gm7803,0,4,4,100,,
62,Gm7851,11,1,12,8.333333333,,
63,Gm8097,6,1,7,14.28571429,,
64,Gm8172,1,3,4,75,,
65,Gm8216,9,3,12,25,,
66,Gm8522,11,2,13,15.38461538,,
67,Gm8577,0,1,1,100,,
68,Gm8606,21,3,24,12.5,,
69,Gm8659,8,1,9,11.11111111,,
70,Gm8722,7,1,8,12.5,,
71,Gm8737,1,1,2,50,,
72,Gm8806,2,15,17,88.23529412,,
73,Gm9083,7,8,15,53.33333333,,
74,Gm9109,4,4,8,50,,
75,Gm9115,3,2,5,40,,
76,Gm9143,3,1,4,25,,
77,Gm9430,3,1,4,25,,
78,Gm9439,4,1,5,20,,
79,H3f3a-ps1,2,3,5,60,,
80,Hmgn2l6,5,4,9,44.44444444,,
81,Hspa9-ps1,0,1,1,100,,
82,n-R5s7,2,1,3,33.33333333,,
83,Nsa2-ps2,7,3,10,30,,
84,Oat-rs1,9,1,10,10,,
85,Rab9b-ps1,9,1,10,10,,
86,Rnf113a1,3,12,15,80,,
87,Rpl10-ps4,9,1,10,10,,
88,Rpl19-ps12,13,12,25,48,,
89,Rpl3-ps1,19,4,23,17.39130435,,
90,Rpl3-ps2,6,7,13,53.84615385,,
91,Rpl30-ps10,2,9,11,81.81818182,,
92,Rpl30-ps11,19,2,21,9.523809524,,
93,Rpl36-ps10,1,3,4,75,,
94,Rpl7a-ps13,2,2,4,50,,
95,Rps24-ps3,4,178,182,97.8021978,,
96,Srpx2,13,4,17,23.52941176,,
97,Vmn2r121,3,2,5,40,,
